"Spell name","Spell School","V","S","M","AF","DF","XP","Rulebook name","Edition"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/create-water--2376/""; ""Create Water"")","Conjuration","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/cure-minor-wounds--2382/""; ""Cure Minor Wounds"")","Conjuration","no","no","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/detect-magic--2489/""; ""Detect Magic"")","Divination","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/detect-poison--2490/""; ""Detect Poison"")","Divination","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/flare--2616/""; ""Flare"")","Evocation","yes","no","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/guidance--2501/""; ""Guidance"")","Divination","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/know-direction--2503/""; ""Know Direction"")","Divination","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/light--2629/""; ""Light"")","Evocation","yes","no","yes","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/mending--2842/""; ""Mending"")","Transmutation","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/naturewatch--724/""; ""Naturewatch"")","Necromancy","no","yes","no","no","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/purify-food-and-drink--2855/""; ""Purify Food and Drink"")","Transmutation","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/read-magic--2511/""; ""Read Magic"")","Divination","yes","yes","no","yes","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/resistance--2358/""; ""Resistance"")","Abjuration","yes","yes","yes","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/virtue--2891/""; ""Virtue"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
